# Table 5 from Terry et al 2020
# Citation Sean K. Terry et al 2020 ApJ 889 126
# DOI 10.3847/1538-4357/ab629b
# Luminosity functions for V, I, J and H 
# Stanek Window l, b = 0.25, −2.15
V	logNV	I	logNI	J	logNJ	H	logNH
14.629	0.484	14.329	1.192	14.1	1.284	13.5	1.575
14.929	1.262	14.629	1.323	14.4	1.363	13.8	1.837
15.229	1.086	14.929	1.322	14.7	1.626	14.1	1.612
15.529	1.505	15.229	1.517	15.0	1.359	14.4	1.537
15.829	1.630	15.529	1.941	15.3	1.474	14.7	1.592
16.129	1.907	15.829	1.878	15.6	1.481	15.0	1.576
16.429	1.982	16.129	1.694	15.9	1.688	15.3	1.628
16.729	1.774	16.429	1.673	16.2	1.930	15.6	1.979
17.029	1.614	16.729	1.798	16.5	2.003	15.9	2.041
17.329	1.820	17.029	1.799	16.8	2.132	16.2	2.029
17.629	1.679	17.329	1.940	17.1	2.394	16.5	2.256
17.929	2.025	17.629	2.111	17.4	2.564	16.8	2.491
18.229	2.097	17.929	2.128	17.7	2.629	17.1	2.724
18.529	2.255	18.229	2.373	18.0	2.856	17.4	2.966
19.129	2.495	18.529	2.691	18.3	3.072	17.7	3.110
19.429	2.849	18.829	2.968	18.6	3.195	18.0	3.261
19.729	3.042	19.129	3.138	18.9	3.294	18.3	3.340
20.029	3.093	19.429	3.181	19.2	3.394	18.6	3.484
20.329	3.185	19.729	3.279	19.5	3.484	18.9	3.564
20.629	3.239	20.029	3.321	19.8	3.564	19.2	3.633
20.929	3.247	20.329	3.326	20.1	3.618	19.5	3.721
21.229	3.254	20.629	3.392	20.4	3.695	19.8	3.758
21.529	3.260	20.929	3.420	20.7	3.747	20.1	3.816
21.829	3.280	21.229	3.455	21.0	3.817	20.4	3.886
22.129	3.283	21.529	3.476	21.3	3.888	20.7	3.954
22.429	3.287	21.829	3.528	21.6	3.976	21.0	4.071
22.729	3.286	22.129	3.562	21.9	4.049	21.3	4.216
23.029	3.290	22.429	3.616	22.2	4.159	21.6	4.328
23.329	3.305	22.729	3.669   -       -       -       -
23.629	3.342	23.029	3.740   -       -       -       -
23.929	3.357	23.329	3.792   -       -       -       -
24.229	3.388	23.629	3.846   -       -       -       -
24.529	3.402	23.929	3.873   -       -       -       -
