# OGLE EWS map.dat file for OGLE-2024-BLG-0223
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
157371 1591.20 4323.71 99.999  9.999 99.999   0   0 9.999   18   0 9.999
157372 1593.85 3973.93 18.527  4.206 14.321  77   0 0.024 2897   6 0.006
157379 1588.27 4175.61 20.744  6.562 14.181  68   0 0.217 2757   0 0.082
157380 1549.91 4212.09 19.452  5.135 14.317  67   0 0.050 2642   0 0.013
157393 1645.85 3985.54 16.555  1.223 15.332  77   1 0.005 2900   2 0.009
157396 1573.39 4004.14 19.992  4.689 15.303  75   0 0.076 2901   2 0.008
157399 1565.13 4019.46 19.102  4.260 14.842  75   1 0.036 2899   4 0.007
157402 1599.44 4052.18 21.381  6.791 14.589  73   0 0.351 2903   0 0.113
157411 1584.74 4094.69 99.999  9.999 15.488   0   0 9.999 2901   2 0.013
157412 1571.14 4103.54 19.175  3.795 15.380  75   0 0.036 2899   4 0.008
157415 1549.02 4123.17 16.334  1.009 15.325  76   0 0.005 2876   7 0.006
157434 1586.72 4302.69 19.890  4.478 15.412  45   0 0.094 1342   1 0.009
157440 1584.62 4092.28 16.741  0.961 15.780  78   0 0.007 2900   3 0.014
157457 1573.73 3976.30 19.844  3.810 16.034  75   0 0.059 2898   5 0.011
157461 1593.08 3985.81 20.126  3.936 16.190  76   0 0.076 2896   7 0.012
157482 1631.92 4067.86 16.982  1.222 15.760  78   0 0.008 2898   5 0.009
157486 1550.70 4077.61 17.168  1.124 16.045  78   0 0.009 2897   5 0.009
157493 1561.21 4101.63 17.374  1.116 16.258  77   0 0.010 2898   5 0.010
157496 1623.64 4111.58 19.768  4.077 15.691  75   0 0.055 2889   4 0.009
157507 1591.08 4146.69 21.951  6.365 15.586  69   0 0.378 2841   0 0.094
157510 1630.35 4162.87 16.844  1.123 15.721  74   0 0.007 2782   5 0.008
157530 1576.33 4241.73 19.833  3.786 16.047  63   0 0.063 2393   3 0.010
157533 1608.28 4248.56 17.113  1.059 16.054  64   0 0.010 2311   4 0.010
157534 1598.80 4258.16 16.748  1.106 15.642  61   0 0.007 2193   4 0.009
157541 1569.71 4282.14 17.779  1.467 16.312  55   0 0.014 1869   5 0.011
157551 1594.21 4324.25 99.999  9.999 99.999   0   0 9.999    0   0 9.999
157580 1649.58 3975.24 18.059  1.180 16.878  77   1 0.013 2891   7 0.018
157582 1591.83 3979.94 21.160  4.035 17.125  76   0 0.213 2896   5 0.040
157595 1623.32 4001.43 20.681  3.886 16.794  75   0 0.130 2898   4 0.015
157596 1545.03 4004.95 20.859  3.864 16.995  75   1 0.171 2896   5 0.016
157605 1568.62 4023.81 19.890  3.399 16.491  75   0 0.066 2899   4 0.017
157614 1608.00 4037.47 19.531  2.410 17.121  75   0 0.053 2892   6 0.022
157616 1568.60 4042.32 20.937  3.832 17.105  74   0 0.151 2893   6 0.019
157621 1595.12 4049.10 20.778  3.698 17.080  74   0 0.152 2879   4 0.210
157623 1568.01 4053.58 18.630  1.644 16.987  76   0 0.026 2896   4 0.016
157632 1621.34 4063.84 17.845  1.160 16.685  78   0 0.013 2899   3 0.014
157656 1548.41 4101.74 19.685  2.861 16.825  74   0 0.053 2896   5 0.014
157664 1621.70 4117.09 19.240  2.096 17.143  73   0 0.039 2885   3 0.027
157669 1642.50 4128.20 20.941  4.305 16.635  70   0 0.176 2869   7 0.013
157679 1644.78 4154.70 17.691  1.169 16.522  74   0 0.010 2805   8 0.014
157686 1595.21 4158.02 18.566  1.422 17.145  73   0 0.022 2792   6 0.020
157710 1605.55 4181.39 21.576  4.740 16.836  66   0 0.306 2740   2 0.025
157727 1618.07 4199.86 20.986  3.909 17.077  68   1 0.185 2691   1 0.019
157731 1627.28 4205.83 17.665  1.222 16.443  70   0 0.012 2661   4 0.012
157733 1558.30 4208.34 21.134  4.023 17.112  65   1 0.164 2654   0 0.027
157735 1570.37 4212.42 20.396  3.832 16.563  67   0 0.100 2639   2 0.013
157737 1637.36 4216.18 20.966  4.335 16.631  67   0 0.159 2622   2 0.014
157738 1575.49 4216.60 20.522  3.803 16.720  66   1 0.120 2617   7 0.014
157739 1544.00 4217.50 19.835  2.860 16.975  65   1 0.067 2613   7 0.031
157746 1561.22 4225.97 17.794  1.195 16.599  69   0 0.013 2563   4 0.014
157749 1616.32 4228.86 20.481  3.826 16.655  66   0 0.112 2543   1 0.014
157753 1568.38 4236.15 20.715  3.846 16.869  63   0 0.135 2471   7 0.016
157756 1594.22 4246.75 20.379  3.240 17.139  61   0 0.098 2336   7 0.024
157758 1557.19 4249.33 21.074  4.175 16.900  61   0 0.216 2313   2 0.018
157762 1625.36 4256.88 20.888  3.920 16.969  58   0 0.167 2209   0 0.018
157763 1605.12 4259.22 20.226  3.516 16.710  58   0 0.089 2184   2 0.022
157765 1609.38 4261.27 19.801  3.295 16.506  58   0 0.065 2160   0 0.018
157769 1596.83 4264.60 20.327  3.256 17.071  58   0 0.120 2112   2 0.024
157772 1566.85 4267.53 18.244  1.309 16.935  58   0 0.020 2073   3 0.017
157775 1601.36 4268.19 20.305  3.523 16.782  57   0 0.116 2067   1 0.017
157780 1588.74 4272.73 20.347  3.759 16.588  55   0 0.099 1997   1 0.014
157796 1600.94 4285.98 19.007  1.995 17.012  48   0 0.038 1790   3 0.018
157797 1575.14 4288.16 20.827  3.646 17.181  46   0 0.129 1751   4 0.020
157798 1620.36 4287.98 19.005  1.592 17.413  48   1 0.033 1754   1 0.028
157802 1628.70 4295.48 20.587  3.635 16.952  44   0 0.111 1594   0 0.019
157804 1612.11 4296.43 20.641  3.684 16.956  44   0 0.135 1568   2 0.020
