# OGLE EWS map.dat file for OGLE-2024-BLG-0475
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
  2789  202.59 1098.23 18.005  4.152 13.853  23   0 0.048  342   0 0.018
  2790  482.81 1122.97 18.298  3.932 14.366  23   0 0.018  349   0 0.010
  2806  369.64 1059.35 18.593  3.421 15.172  22   0 0.019  347   2 0.007
  2808  455.47 1078.29 18.169  3.173 14.996  22   0 0.017  349   0 0.007
  2809  447.16 1090.96 17.254  2.372 14.882  23   0 0.008  349   0 0.007
  2810  346.27 1092.41 18.274  3.067 15.206  22   0 0.016  349   0 0.008
  2980  362.36 1065.24 19.566  2.904 16.662  22   0 0.047  346   2 0.013
  2982  467.94 1068.65 19.649  2.788 16.861  22   0 0.036  347   1 0.015
  2983  294.85 1073.72 19.522  2.814 16.708  22   0 0.031  346   1 0.014
  2984  197.47 1085.49 19.526  2.777 16.750  22   0 0.035  339   0 0.018
  2985  159.22 1088.02 19.627  3.127 16.499  22   0 0.041  318   1 0.013
  2986  538.38 1096.04 17.956  1.747 16.209  23   0 0.014  349   0 0.014
  2987  282.45 1096.72 19.664  2.844 16.820  22   0 0.037  347   0 0.016
  2988  512.61 1097.56 18.895  2.678 16.217  21   1 0.020  348   1 0.011
  2989  352.03 1097.92 19.002  2.601 16.401  22   0 0.023  347   1 0.015
  2990  478.33 1104.32 19.018  2.699 16.319  22   0 0.023  347   1 0.011
  2992  189.18 1106.66 19.818  2.853 16.966  22   0 0.046  329   2 0.020
  2993  516.07 1106.61 19.835  2.856 16.979  22   0 0.044  348   0 0.020
  2994  204.11 1117.28 20.039  2.889 17.150  22   0 0.051  339   1 0.022
  2995  487.05 1118.19 19.607  2.874 16.733  22   0 0.055  345   2 0.029
  2996  360.14 1120.00 19.221  2.786 16.436  22   0 0.026  347   1 0.014
  3004  513.07 1104.32 20.435  2.346 18.089  22   0 0.098  345   2 0.049
  3005  292.23 1122.55 19.523  2.205 17.317  22   0 0.038  346   1 0.027
  3124  489.86 1059.21 19.701  2.519 17.182  22   0 0.056  347   0 0.020
  3125  462.69 1059.14 20.117  2.333 17.784  22   0 0.071  345   0 0.035
  3126  352.84 1063.18 20.071  2.603 17.468  22   0 0.071  346   0 0.024
  3127  358.04 1061.53 20.489  2.832 17.657  21   0 0.091  347   1 0.030
  3128  478.64 1060.91 20.321  2.377 17.945  22   0 0.080  346   0 0.040
