field,GLON,GLAT
BLG500,0.9999,-1.0293
BLG501,-0.0608,-1.64
BLG502,-3.2832,-3.4735
BLG503,-4.3547,-4.0831
BLG504,2.1491,-1.7747
BLG505,1.087,-2.389
BLG506,0.0103,-2.9974
BLG507,-1.0641,-3.6101
BLG508,-2.1341,-4.2222
BLG509,-3.2058,-4.8329
BLG510,-4.2794,-5.4419
BLG511,3.2835,-2.5219
BLG512,2.2154,-3.1355
BLG513,1.1399,-3.7432
BLG514,0.0747,-4.3626
BLG515,-0.9993,-4.9741
BLG516,-2.0711,-5.587
BLG517,-3.1453,-6.1976
BLG518,4.4046,-3.2761
BLG519,3.3316,-3.8823
BLG520,2.2603,-4.4933
BLG521,1.1905,-5.1086
BLG522,5.5202,-4.0329
BLG523,4.4477,-4.6423
BLG524,3.3712,-5.2462
BLG525,2.2975,-5.8574
BLG526,1.226,-6.4752
BLG527,8.8082,-3.6426
BLG528,7.7241,-4.2297
BLG529,6.6383,-4.8152
BLG530,5.5505,-5.3987
BLG531,4.476,-6.0094
BLG532,3.3951,-6.6107
BLG533,2.0542,-0.4054
BLG534,-1.1356,-2.2547
BLG535,-2.2129,-2.8632
BLG536,-5.3552,-6.049
BLG539,-4.2223,-6.8055
BLG543,8.7716,-2.2752
BLG544,7.689,-2.8622
BLG545,6.6053,-3.4482
BLG546,0.153,-7.0928
BLG547,-0.9252,-7.7037
BLG566,9.931,-7.1538
BLG573,0.1216,-5.7276
BLG580,5.4762,-2.6684
BLG588,-0.9534,-6.3377
BLG597,-2.028,-6.951
BLG599,-5.4275,-4.6916
BLG600,-6.5036,-5.2961
BLG603,-4.4401,-2.7412
BLG604,-5.5113,-3.3505
BLG605,-6.585,-3.9567
BLG606,-7.6615,-4.5597
BLG609,-5.6069,-2.0233
BLG610,-6.6777,-2.6334
BLG611,0.3282,2.8242
BLG612,-1.0464,3.4008
BLG613,-2.0762,2.7248
BLG614,-2.2382,4.0765
BLG615,-3.2679,3.3992
BLG617,-4.21,4.9609
BLG622,3.3887,4.9182
BLG624,5.6025,4.8747
BLG625,4.5592,4.2168
BLG626,3.5176,3.5577
BLG629,7.8134,4.8089
BLG630,6.761,4.1659
BLG631,5.7162,3.5117
BLG632,4.6747,2.8534
BLG633,3.6341,2.1945
BLG636,7.9121,3.4452
BLG637,6.86,2.8041
BLG638,5.8168,2.1491
BLG639,4.7762,1.4906
BLG641,7.9992,2.0816
BLG642,6.9487,1.4394
BLG643,5.9062,0.7838
BLG644,4.2691,-0.5348
BLG645,3.2039,-1.1511
BLG646,4.3401,-1.8981
BLG647,3.1204,0.2092
BLG648,1.9634,0.9419
BLG649,0.8963,0.3281
BLG650,-0.1665,-0.2925
BLG651,-1.2329,-0.9073
BLG652,1.8508,2.3
BLG653,-0.8998,2.0442
BLG654,-1.9286,1.3682
BLG655,-2.9551,0.689
BLG657,2.3179,-7.2216
BLG659,-2.303,-1.5164
BLG660,-3.3695,-2.1318
BLG661,-4.5361,-1.4138
BLG662,-3.1047,2.0479
BLG663,6.5466,-2.0595
BLG664,5.4117,-1.2924
BLG665,1.2091,4.8559
BLG666,0.1737,4.1858
BLG667,1.3523,3.4996
BLG668,-4.1383,1.3792
BLG670,-5.7392,-0.6699
BLG672,-7.9091,-1.8529
BLG675,0.7819,1.6875
BLG676,-0.2799,1.0642
BLG677,-1.3467,0.449
BLG680,-7.7734,-3.2045
BLG683,3.0214,1.5708
BLG714,2.4794,2.8944
BLG715,2.3472,4.2575
BLG717,7.6458,-1.5033
