Title: Microlensing optical depth and event rate toward the Galactic bulge 
       from eight years of OGLE-IV observations 
Authors: Mroz P., Udalski A., Skowron J., Szymanski M.K., Soszynski I.,
    Wyrzykowski L., Pietrukowicz P., Kozlowski S., Poleski R., Ulaczyk K., 
    Rybicki K., Iwanek P. 
Table: Basic information about analyzed fields
================================================================================
Byte-by-byte Description of file: apjsab426bt6_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  6 A6     ---   field    OGLE-IV subfield name
   8- 15 F8.4   deg   RAdeg    Right ascension, decimal degrees (J2000)
  17- 24 F8.4   deg   DEdeg    Declination, decimal degrees (J2000)
  26- 32 F7.4   deg   GLON     Galactic longitude
  34- 41 F8.4   deg   GLAT     Galactic latitude
  43- 45 F3.1   10+6  Nstars   Number of stars, millions
  47- 51 I5     ---   Nepochs  Number of epochs
--------------------------------------------------------------------------------
BLG500 267.9992 -28.6097  0.9999  -1.0293 4.1  4701 
BLG501 267.9821 -29.8333 -0.0608  -1.6400 5.3 12099 
BLG502 267.9125 -33.5375 -3.2832  -3.4735 5.0  1700 
BLG503 267.8917 -34.7681 -4.3547  -4.0831 4.9   745 
BLG504 269.3888 -27.9944  2.1491  -1.7747 5.9  6429 
BLG505 269.3904 -29.2208  1.0870  -2.3890 7.0 12066 
BLG506 269.3792 -30.4564  0.0103  -2.9974 5.4  4706 
BLG507 269.3750 -31.6917 -1.0641  -3.6101 5.5  1882 
BLG508 269.3750 -32.9222 -2.1341  -4.2222 4.3  1490 
BLG509 269.3750 -34.1528 -3.2058  -4.8329 4.6   807 
BLG510 269.3750 -35.3833 -4.2794  -5.4419 3.9   559 
BLG511 270.7563 -27.3803  3.2835  -2.5219 5.6  4588 
BLG512 270.7688 -28.6108  2.2154  -3.1355 7.1 10253 
BLG513 270.7733 -29.8444  1.1399  -3.7432 4.6  1909 
BLG514 270.7979 -31.0742  0.0747  -4.3626 4.6  1532 
BLG515 270.8125 -32.3069 -0.9993  -4.9741 4.4  1350 
BLG516 270.8333 -33.5375 -2.0711  -5.5870 4.2   634 
